序,时间,区,目的港,国家,中文,代,船,20G,E1,40G,E2,40H,E3,AE,20'GP(标准报价),40'GP(标准报价),40'HQ(标准报价),EBS,AE1,船期,港,中转港,中转,航程,起,止,内部备注,限重,快捷报价,,,
303,80618,西,SAN PEDRO,IVORY COAST,"圣佩德港,科特迪瓦",A,MSK,2150,60,3600,120,3600,120,,2150,3600,3600,60/120,,周三,洋山,PTG,丹吉尔,51,8-06,8-19,,,San Pedro MSK USD2150/3600 + EBS60/120，周三洋山丹吉尔转51天，价格到8月19日。,,,
304,80618,西,SAN PEDRO,IVORY COAST,"圣佩德港,科特迪瓦",D,SAF,2100,60,3500,120,3500,120,,2100,3500,3500,60/120,,周三,洋山,ALGECIRAS,阿尔赫西拉斯,56,8-06,8-19,AE6,,San Pedro SAF USD2100/3500 + EBS60/120，周三洋山阿尔赫西拉斯转56天，价格到8月19日。,,,
305,80618,西,SAN PEDRO,IVORY COAST,"圣佩德港,科特迪瓦",B,MSC,2050,50,3400,100,3400,100,,2075,3450,3450,50/100,,周五,外港,TGLFW,洛美,45,8-06,8-15,"Subj SPD: EUR6/20GP,EUR12/40",,San Pedro MSC USD2050/3400 + EBS50/100，周五外港洛美转45天，价格到8月15日已过期，紧供参考。,,,
306,80618,西,WALVIS BAY,NAMIBIA,"鲸湾,纳米比亚",A,MSK,1500,60,2500,120,2500,120,,1500,2500,2500,60/120,,周四,外港,DIR,直达,31,8-06,8-19,FEW2,,Walvis Bay MSK USD1500/2500 + EBS60/120，周四外港直达31天，价格到8月19日。,,,
307,80618,西,WALVIS BAY,NAMIBIA,"鲸湾,纳米比亚",E,COSCO,1410,60,2310,120,2310,120,,1435,2360,2360,60/120,,周三,外港,DIR,直达,30,8-06,8-19,WAX3,,Walvis Bay COSCO USD1410/2310 + EBS60/120，周三外港直达30天，价格到8月19日。,,,
308,80618,西,WALVIS BAY,NAMIBIA,"鲸湾,纳米比亚",D,SAF,1450,60,2400,120,2400,120,,1450,2400,2400,60/120,,周四,外港,DIR,直达,31,8-06,8-19,FW2,,Walvis Bay SAF USD1450/2400 + EBS60/120，周四外港直达31天，价格到8月19日。,,,
309,80618,西,WALVIS BAY,NAMIBIA,"鲸湾,纳米比亚",B,MSC,1150,50,2300,100,2300,100,,1175,2350,2350,50/100,,周五,外港,MUPLO,路易港,34,8-01,8-14,货重超过20T 加收USD100/TUE,20'GP ≧18T+USD200,Walvis Bay MSC USD1150/2300 + EBS50/100，周五外港路易港转34天，价格到8月14日已过期，紧供参考。,,,
310,80618,西,WALVIS BAY,NAMIBIA,"鲸湾,纳米比亚",M,CMA,1488,55,2463,110,2463,110,,1538,2563,2563,55/110,,周四,外四,DIR,直达,32,8-06,8-19,WAX3 15天免用箱,,Walvis Bay CMA USD1488/2463 + EBS55/110，周四外四直达32天，价格到8月19日。,,,
311,80618,西,WALVIS BAY,NAMIBIA,"鲸湾,纳米比亚",K,PIL,1962,,3212,,3212,,,2062,3412,3412,,,周三,外港,DIR,直达,28,8-13,8-15,,,Walvis Bay PIL USD1962/3212，周三外港直达28天，价格到8月15日已过期，紧供参考。,,,
312,80618,西,LUDERITZ,NAMIBIA,"卢德立次,纳米比亚",A,MSK,2000,60,3200,120,3200,120,,2000,3200,3200,60/120,,周二,洋山,CAPE TOWN,开普敦,44,8-06,8-19,FEW6,,Luderitz MSK USD2000/3200 + EBS60/120，周二洋山开普敦转44天，价格到8月19日。,,,
313,80618,西,LUDERITZ,NAMIBIA,"卢德立次,纳米比亚",D,SAF,1950,60,3100,120,3100,120,,1950,3100,3100,60/120,,周二,洋山,CAPE TOWN,开普敦,44,8-06,8-19,FEW6,,Luderitz SAF USD1950/3100 + EBS60/120，周二洋山开普敦转44天，价格到8月19日。,,,
314,80618,西,DAKAR,SENEGAL,"达卡,塞内加尔",B,MSC,2045,50,3720,100,3720,100,,2070,3770,3770,50/100,,周五,外港,VLC,瓦伦西亚,41/37,8-06,8-15,subject to ISPS USD20/cntr SCC USD165/205(can be cc),,Dakar MSC USD2045/3720 + EBS50/100，周五外港瓦伦西亚转41/37天，价格到8月15日已过期，紧供参考。,,,
315,80618,西,DAKAR,SENEGAL,"达卡,塞内加尔",N,HPL,2150,55,3550,110,3550,110,,2175,3600,3600,55/110,,周六,洋山,ALG,阿尔赫西拉斯,55,8-01,8-14,"航线代码：FE4,免用箱14天 另加 TSD EUR15/30",,Dakar HPL USD2150/3550 + EBS55/110，周六洋山阿尔赫西拉斯转55天，价格到8月14日已过期，紧供参考。,,,
316,80618,西,DAKAR,SENEGAL,"达卡,塞内加尔",E,COSCO,2010,60,3810,120,3810,120,,2035,3860,3860,60/120,,周日,洋山,ALG,阿尔赫西拉斯,36,8-06,8-17,AEU2 ENS USD25/BL,,Dakar COSCO USD2010/3810 + EBS60/120，周日洋山阿尔赫西拉斯转36天，价格到8月17日已过期，紧供参考。,,,
317,80618,西,DAKAR,SENEGAL,"达卡,塞内加尔",H,ONE,2190,,3785,,3785,,,2215,3835,3835,,,周六,洋山,TANGIER,汤加,35,8-06,8-14,MD1  另加ENS USD30/BILL,,Dakar ONE USD2190/3785，周六洋山汤加转35天，价格到8月14日已过期，紧供参考。,,,
318,80618,西,DAKAR,SENEGAL,"达卡,塞内加尔",M,CMA,2338,55,4163,110,4163,110,,2388,4263,4263,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,34,8-06,8-19,FAL1 10天免用箱,,Dakar CMA USD2338/4163 + EBS55/110，周日洋山阿尔赫西拉斯转34天，价格到8月19日。,,,
319,80618,西,DAKAR,SENEGAL,"达卡,塞内加尔",A,MSK,2400,60,4300,120,4300,120,,2400,4300,4300,60/120,,周1,洋山,PORT SAID EAST,赛德东,40,8-06,8-19,,,Dakar MSK USD2400/4300 + EBS60/120，周1洋山赛德东转40天，价格到8月19日。,,,
320,80618,西,DAKAR,SENEGAL,"达卡,塞内加尔",D,SAF,2350,60,4200,120,4200,120,,2350,4200,4200,60/120,,周一/五,洋山,PORT SAIDE EAST/ALGECIRAS,赛德西/阿尔赫西拉斯,36-38,8-06,8-19,AE7/AE6,,Dakar SAF USD2350/4200 + EBS60/120，周一/五洋山赛德西/阿尔赫西拉斯转36-38天，价格到8月19日。,,,
321,80618,西,NOUACHCHOTT,MAURETANIA,"努瓦克肖特,毛里塔尼亚",L,NDS,2660,,4660,,4660,,,2660,4660,4660,,,周一,洋山,LUANDA,卢安达,62,8-06,8-19,,,Nouachchott NDS USD2660/4660，周一洋山卢安达转62天，价格到8月19日。,,,
322,80618,西,SAO TOME,Sao Tome and Principe,"圣多美,圣多美和普林西比",L,NDS,4560,,8010,,8010,,,4560,8010,8010,,,周一,洋山,PNR,黑角,51,8-06,8-19,,,Sao Tome NDS USD4560/8010，周一洋山黑角转51天，价格到8月19日。,,,
323,80618,西,SAO TOME,Sao Tome and Principe,"圣多美,圣多美和普林西比",M,CMA,5838,55,11163,110,11163,110,,5888,11263,11263,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,87,8-06,8-19,FAL1,,Sao Tome CMA USD5838/11163 + EBS55/110，周日洋山阿尔赫西拉斯转87天，价格到8月19日。,,,
324,80618,北,AGADIR,Morocco,"阿加迪尔,摩洛哥",A,MSK,1450,60,2700,120,2725,120,ENS30,1475,2750,2775,60/120,,周三 周日,洋山,ALG,阿尔赫西拉斯,35,8-16,8-31,sbj to EBS,20'GP≧16T以上+$200,Agadir MSK USD1450/2700/2725 + EBS60/120 + ENS30/BILL，周三 周日洋山阿尔赫西拉斯转35天，价格到8月31日。,,,
325,80618,北,AGADIR,Morocco,"阿加迪尔,摩洛哥",D,SAF,1425,60,2650,120,2675,120,ENS30,1425,2650,2675,60/120,,周五,洋山,ALG,阿尔赫西拉斯,37,8-01,8-15,AE2,,Agadir SAF USD1425/2650/2675 + EBS60/120 + ENS30/BILL，周五洋山阿尔赫西拉斯转37天，价格到8月15日已过期，紧供参考。,,,
326,80618,北,AGADIR,Morocco,"阿加迪尔,摩洛哥",M,CMA,1575,55,2950,110,3025,110,ENS30,1600,3000,3075,55/110,,周日,洋山,ALG,阿尔赫西拉斯,34,8-01,8-14,FAL1,,Agadir CMA USD1575/2950/3025 + EBS55/110 + ENS30/BILL，周日洋山阿尔赫西拉斯转34天，价格到8月14日已过期，紧供参考。,,,
327,80618,北,AGADIR,Morocco,"阿加迪尔,摩洛哥",B,MSC,2150,,4200,,4250,,ENS30,2150,4200,4250,,,周日,洋山,SAKAC,沙特的阿卜杜拉国王港,48,8-01,8-14,,,Agadir MSC USD2150/4200/4250 + ENS30/BILL，周日洋山沙特的阿卜杜拉国王港转48天，价格到8月14日已过期，紧供参考。,,,
328,80618,北,CASABLANCA,Morocco,"卡萨布兰卡,摩洛哥",A,MSK,1350,60,2600,120,2625,120,ENS30,1375,2650,2675,60/120,,周三 周日,洋山,TAN,丹吉尔,31,8-16,8-31,sbj to EBS,20'GP≧16T以上+$200,Casablanca MSK USD1350/2600/2625 + EBS60/120 + ENS30/BILL，周三 周日洋山丹吉尔转31天，价格到8月31日。,,,
329,80618,北,CASABLANCA,Morocco,"卡萨布兰卡,摩洛哥",D,SAF,1325,60,2550,120,2575,120,ENS30,1325,2550,2575,60/120,,周三,洋山,TAN,丹吉尔,30,8-01,8-15,AE5,,Casablanca SAF USD1325/2550/2575 + EBS60/120 + ENS30/BILL，周三洋山丹吉尔转30天，价格到8月15日已过期，紧供参考。,,,
330,80618,北,CASABLANCA,Morocco,"卡萨布兰卡,摩洛哥",M,CMA,1525,55,2850,110,2925,110,ENS30,1550,2900,2975,55/110,,周日,洋山,ALG,阿尔赫西拉斯,27,8-01,8-14,FAL1,,Casablanca CMA USD1525/2850/2925 + EBS55/110 + ENS30/BILL，周日洋山阿尔赫西拉斯转27天，价格到8月14日已过期，紧供参考。,,,
331,80618,北,CASABLANCA,Morocco,"卡萨布兰卡,摩洛哥",E,COSCO,1550,,3000,,3050,,ENS30,1550,3000,3050,,,周四/周六/周一,洋山,VAL/ALG/Barcelona,瓦伦西亚/阿尔赫西拉斯/巴塞罗那,30-44,8-15,8-31,ENS USD25/BL AEM1/AEM2/AEU2 ,小箱货重大于等于18吨且小于23吨收USD100/20GP，大于等于23吨收USD200/20GP,Casablanca COSCO USD1550/3000/3050 + ENS30/BILL，周四/周六/周一洋山瓦伦西亚/阿尔赫西拉斯/巴塞罗那转30-44天，价格到8月31日。,,,
332,80618,北,CASABLANCA,Morocco,"卡萨布兰卡,摩洛哥",C,EMC,1650,,2900,,2900,,ENS30,1650,2900,2900,,,周一/周四,洋山,VLC,瓦伦西亚,35/42,8-01,8-14,ENS USD30,超重費2SD >=18T  USD200 2SD>=21T USD400,Casablanca EMC USD1650/2900 + ENS30/BILL，周一/周四洋山瓦伦西亚转35/42天，价格到8月14日已过期，紧供参考。,,,
333,80618,北,CASABLANCA,Morocco,"卡萨布兰卡,摩洛哥",P,OOCL,1525,55,2850,110,2900,110,ENS30,1525,2850,2900,55/110,,周一,洋山,VLC,瓦伦西亚,36,7-15,7-31,另加ENS USD30/BILL,,Casablanca OOCL USD1525/2850/2900 + EBS55/110 + ENS30/BILL，周一洋山瓦伦西亚转36天，价格到7月31日已过期，紧供参考。,,,
334,80618,北,CASABLANCA,Morocco,"卡萨布兰卡,摩洛哥",N,HPL,1150,55,2200,110,2200,110,ENS30,1150,2200,2200,55/110,,周六,洋山,PORT TANGIER,丹吉尔,37,7-15,7-31,MD1 另加ENS USD35/BILL,小箱货重超过24吨及以上，收取USD250超重费,Casablanca HPL USD1150/2200 + EBS55/110 + ENS30/BILL，周六洋山丹吉尔转37天，价格到7月31日已过期，紧供参考。,,,
335,80618,北,CASABLANCA,Morocco,"卡萨布兰卡,摩洛哥",B,MSC,1475,,2850,,2900,,ENS30,1475,2850,2900,,,周日,洋山,SAKAC,沙特的阿卜杜拉国王港,35,8-01,8-14,,,Casablanca MSC USD1475/2850/2900 + ENS30/BILL，周日洋山沙特的阿卜杜拉国王港转35天，价格到8月14日已过期，紧供参考。,,,
336,80618,北,PORT TANGIER,Morocco,"丹吉尔,摩洛哥",A,MSK,1350,60,2600,120,2625,120,ENS30,1375,2650,2675,60/120,,周三 周日,洋山,DIR,直达,24,8-16,8-31,sbj to EBS,20'GP≧16T以上+$200,Port Tangier MSK USD1350/2600/2625 + EBS60/120 + ENS30/BILL，周三 周日洋山直达24天，价格到8月31日。,,,
337,80618,北,PORT TANGIER,Morocco,"丹吉尔,摩洛哥",D,SAF,1325,60,2550,120,2575,120,ENS30,1325,2550,2575,60/120,,周五,洋山,DIR,直达,23,8-01,8-15,AE5,,Port Tangier SAF USD1325/2550/2575 + EBS60/120 + ENS30/BILL，周五洋山直达23天，价格到8月15日已过期，紧供参考。,,,
338,80618,北,PORT TANGIER,Morocco,"丹吉尔,摩洛哥",P,OOCL,1525,55,2850,110,2900,110,ENS30,1525,2850,2900,55/110,,周一,洋山,VLC,瓦伦西亚,38,7-15,7-31,另加ENS USD30/BILL,,Port Tangier OOCL USD1525/2850/2900 + EBS55/110 + ENS30/BILL，周一洋山瓦伦西亚转38天，价格到7月31日已过期，紧供参考。,,,
339,80618,北,PORT TANGIER,Morocco,"丹吉尔,摩洛哥",N,HPL,1150,55,2200,110,2200,110,ENS30,1150,2200,2200,55/110,,周六,洋山,DIR,直达,31,7-15,7-31,MD1 另加ENS USD35/BILL 港口显示：TANGER MED ,小箱货重超过24吨及以上，收取USD250超重费,Port Tangier HPL USD1150/2200 + EBS55/110 + ENS30/BILL，周六洋山直达31天，价格到7月31日已过期，紧供参考。,,,
340,80618,北,PORT TANGIER,Morocco,"丹吉尔,摩洛哥",M,CMA,1525,55,2850,110,2925,110,ENS30,1550,2900,2975,55/110,,周日,洋山,ALG,阿尔赫西拉斯,30,8-01,8-14,FAL1,,Port Tangier CMA USD1525/2850/2925 + EBS55/110 + ENS30/BILL，周日洋山阿尔赫西拉斯转30天，价格到8月14日已过期，紧供参考。,,,
341,80618,北,ALGER,Algeria,"阿尔及尔,阿尔及利亚",A,MSK,1525,60,2950,120,3000,120,ENS30,1550,3000,3050,60/120,,周日,洋山,MLT,马耳他,37,8-16,8-31,sbj to EBS,20'GP≧16T以上+$200,Alger MSK USD1525/2950/3000 + EBS60/120 + ENS30/BILL，周日洋山马耳他转37天，价格到8月31日。,,,
342,80618,北,ALGER,Algeria,"阿尔及尔,阿尔及利亚",E,COSCO,1600,,3200,,3250,,ENS30,1600,3200,3250,,,周日,洋山,PIR/VLC,比雷埃夫斯/瓦伦西亚,33-39,8-15,8-31,"ENS USD25/BL ISPS USD8/BOX不同码头航线不同,订舱前请确认 AAD01/AAD03 AEM5 via Piraeus，AAD05 via Valencia",小箱货重大于等于18吨且小于23吨收USD100/20GP，大于等于23吨收USD200/20GP,Alger COSCO USD1600/3200/3250 + ENS30/BILL，周日洋山比雷埃夫斯/瓦伦西亚转33-39天，价格到8月31日。,,,
343,80618,北,ALGER,Algeria,"阿尔及尔,阿尔及利亚",M,CMA,1900,55,3600,110,3675,110,ENS30,1950,3700,3775,55/110,,周一,洋山,MLT,马耳他,36,8-01,8-14,DRY PORT/SEA PORT 都可,,Alger CMA USD1900/3600/3675 + EBS55/110 + ENS30/BILL，周一洋山马耳他转36天，价格到8月14日已过期，紧供参考。,,,
344,80618,北,ALGER,Algeria,"阿尔及尔,阿尔及利亚",C,EMC,1700,,3000,,3000,,ENS30,1700,3000,3000,,,1/4/7,洋山,PIR,比雷埃夫斯,35/37/45,8-01,8-14,"ENS USD30 默认DRY PORT,可申请SEA PORT",超重費2SD >=18T  USD200 2SD>=21T USD400,Alger EMC USD1700/3000 + ENS30/BILL，1/4/7洋山比雷埃夫斯转35/37/45天，价格到8月14日已过期，紧供参考。,,,
345,80618,北,ALGER,Algeria,"阿尔及尔,阿尔及利亚",N,HPL,1500,55,2900,110,2900,110,ENS30,1500,2900,2900,55/110,,周六,洋山,PORT TANGIER,丹吉尔,35,7-15,7-31,MD1 另加ENS USD35/BILL,小箱货重超过24吨及以上，收取USD250超重费,Alger HPL USD1500/2900 + EBS55/110 + ENS30/BILL，周六洋山丹吉尔转35天，价格到7月31日已过期，紧供参考。,,,
346,80618,北,ALGER,Algeria,"阿尔及尔,阿尔及利亚",B,MSC,1550,,3000,,3050,,ENS30,1550,3000,3050,,,周日,洋山,SAKAC,沙特的阿卜杜拉国王港,29,8-01,8-14,,,Alger MSC USD1550/3000/3050 + ENS30/BILL，周日洋山沙特的阿卜杜拉国王港转29天，价格到8月14日已过期，紧供参考。,,,
347,80618,北,SKIKDA,Algeria,"斯基克达,阿尔及利亚",B,MSC,1550,,3000,,3050,,ENS30,1550,3000,3050,,,周日,洋山,SAKAC,沙特的阿卜杜拉国王港,48,8-01,8-14,,,Skikda MSC USD1550/3000/3050 + ENS30/BILL，周日洋山沙特的阿卜杜拉国王港转48天，价格到8月14日已过期，紧供参考。,,,
348,80618,北,SKIKDA,Algeria,"斯基克达,阿尔及利亚",A,MSK,1500,60,2900,120,2950,120,ENS30,1525,2950,3000,60/120,,周日,洋山,SAKAC,马耳他,31,8-16,8-31,sbj to EBS,20'GP≧16T以上+$200,Skikda MSK USD1500/2900/2950 + EBS60/120 + ENS30/BILL，周日洋山马耳他转31天，价格到8月31日。,,,
349,80618,北,SKIKDA,Algeria,"斯基克达,阿尔及利亚",E,COSCO,1750,,3500,,3550,,ENS30,1750,3500,3550,,,周一,洋山,VALENCIA,瓦伦西亚,37,8-15,8-31,ENS USD25/BL AEM2,小箱货重大于等于18吨且小于23吨收USD100/20GP，大于等于23吨收USD200/20GP,Skikda COSCO USD1750/3500/3550 + ENS30/BILL，周一洋山瓦伦西亚转37天，价格到8月31日。,,,
350,80618,北,SKIKDA,Algeria,"斯基克达,阿尔及利亚",N,HPL,1500,55,2900,110,2900,110,ENS30,1500,2900,2900,55/110,,周日,洋山,PIRAEUS,比雷埃夫斯,25,7-15,7-31,MD2 另加ENS USD35/BILL,小箱货重超过24吨及以上，收取USD250超重费,Skikda HPL USD1500/2900 + EBS55/110 + ENS30/BILL，周日洋山比雷埃夫斯转25天，价格到7月31日已过期，紧供参考。,,,
351,80618,北,SKIKDA,Algeria,"斯基克达,阿尔及利亚",M,CMA,1900,55,3600,110,3675,110,ENS30,1950,3700,3775,55/110,,周一,洋山,BCN,巴塞罗那,35,8-01,8-14,,,Skikda CMA USD1900/3600/3675 + EBS55/110 + ENS30/BILL，周一洋山巴塞罗那转35天，价格到8月14日已过期，紧供参考。,,,
352,80618,北,ORAN,Algeria,"奥兰,阿尔及利亚",A,MSK,1525,60,2950,120,3000,120,ENS30,1550,3000,3050,60/120,,周日,洋山,ALG,阿尔赫西拉斯,33,8-16,8-31,sbj to EBS,20'GP≧16T以上+$200,Oran MSK USD1525/2950/3000 + EBS60/120 + ENS30/BILL，周日洋山阿尔赫西拉斯转33天，价格到8月31日。,,,
353,80618,北,ORAN,Algeria,"奥兰,阿尔及利亚",E,COSCO,1800,,3500,,3550,,ENS30,1800,3500,3550,,,周一,洋山,VALENCIA,瓦伦西亚,36,8-15,8-31,ENS USD25/BL AEM2,小箱货重大于等于18吨且小于23吨收USD100/20GP，大于等于23吨收USD200/20GP,Oran COSCO USD1800/3500/3550 + ENS30/BILL，周一洋山瓦伦西亚转36天，价格到8月31日。,,,
354,80618,北,ORAN,Algeria,"奥兰,阿尔及利亚",M,CMA,1900,55,3600,110,3675,110,ENS30,1950,3700,3775,55/110,,周一,洋山,BCN,巴塞罗那,35,8-01,8-14,sea port/dry port都可,,Oran CMA USD1900/3600/3675 + EBS55/110 + ENS30/BILL，周一洋山巴塞罗那转35天，价格到8月14日已过期，紧供参考。,,,
355,80618,北,ORAN,Algeria,"奥兰,阿尔及利亚",N,HPL,1600,55,3040,110,3040,110,ENS30,1600,3040,3040,55/110,,周六,洋山,VALENCIA,瓦伦西亚,36,7-15,7-31,MD1 另加ENS USD35/BILL,小箱货重超过24吨及以上，收取USD250超重费,Oran HPL USD1600/3040 + EBS55/110 + ENS30/BILL，周六洋山瓦伦西亚转36天，价格到7月31日已过期，紧供参考。,,,
356,80618,北,ORAN,Algeria,"奥兰,阿尔及利亚",B,MSC,1550,,3000,,3050,,ENS30,1550,3000,3050,,,周日,洋山,SAKAC,沙特的阿卜杜拉国王港,36,8-01,8-14,,,Oran MSC USD1550/3000/3050 + ENS30/BILL，周日洋山沙特的阿卜杜拉国王港转36天，价格到8月14日已过期，紧供参考。,,,
357,80618,北,ANNABA,Algeria,"安纳巴,阿尔及利亚",A,MSK,1525,60,2950,120,3000,120,ENS30,1550,3000,3050,60/120,,周日,洋山,SAKAC,马尔萨什洛克,37-44,8-16,8-31,sbj to EBS,20'GP≧16T以上+$200,Annaba MSK USD1525/2950/3000 + EBS60/120 + ENS30/BILL，周日洋山马尔萨什洛克转37-44天，价格到8月31日。,,,
358,80618,北,ANNABA,Algeria,"安纳巴,阿尔及利亚",M,CMA,1900,55,3600,110,3675,110,ENS30,1950,3700,3775,55/110,,周一,洋山,MLT,马耳他,35,8-01,8-14,,,Annaba CMA USD1900/3600/3675 + EBS55/110 + ENS30/BILL，周一洋山马耳他转35天，价格到8月14日已过期，紧供参考。,,,
359,80618,北,ANNABA,Algeria,"安纳巴,阿尔及利亚",E,COSCO,1750,,3500,,3550,,ENS30,1750,3500,3550,,,周一,洋山,VALENCIA,瓦伦西亚,35,8-15,8-31,ENS USD25/BL AEM2,小箱货重大于等于18吨且小于23吨收USD100/20GP，大于等于23吨收USD200/20GP,Annaba COSCO USD1750/3500/3550 + ENS30/BILL，周一洋山瓦伦西亚转35天，价格到8月31日。,,,
360,80618,北,ANNABA,Algeria,"安纳巴,阿尔及利亚",B,MSC,1550,,3000,,3050,,ENS30,1550,3000,3050,,,周日,洋山,SAKAC,沙特的阿卜杜拉国王港,44,8-01,8-14,,,Annaba MSC USD1550/3000/3050 + ENS30/BILL，周日洋山沙特的阿卜杜拉国王港转44天，价格到8月14日已过期，紧供参考。,,,
361,80618,北,BEJAIA,Algeria,"贝贾亚,阿尔及利亚",A,MSK,1600,60,3100,120,3150,120,ENS30,1625,3150,3200,60/120,,周日,洋山,SAKAC,马尔萨什洛克,36,8-16,8-31,sbj to EBS,20'GP≧16T以上+$200,Bejaia MSK USD1600/3100/3150 + EBS60/120 + ENS30/BILL，周日洋山马尔萨什洛克转36天，价格到8月31日。,,,
362,80618,北,BEJAIA,Algeria,"贝贾亚,阿尔及利亚",M,CMA,1900,55,3600,110,3675,110,ENS30,1950,3700,3775,55/110,,周一,洋山,MLT,马耳他,33,8-01,8-14,,,Bejaia CMA USD1900/3600/3675 + EBS55/110 + ENS30/BILL，周一洋山马耳他转33天，价格到8月14日已过期，紧供参考。,,,
363,80618,北,BEJAIA,Algeria,"贝贾亚,阿尔及利亚",N,HPL,1500,55,2900,110,2900,110,ENS30,1500,2900,2900,55/110,,周日,洋山,PIRAEUS,比雷埃夫斯,28,7-15,7-31,MD2 另加ENS USD35/BILL,小箱货重超过24吨及以上，收取USD250超重费,Bejaia HPL USD1500/2900 + EBS55/110 + ENS30/BILL，周日洋山比雷埃夫斯转28天，价格到7月31日已过期，紧供参考。,,,
364,80618,北,BEJAIA,Algeria,"贝贾亚,阿尔及利亚",B,MSC,1550,,3000,,3050,,ENS30,1550,3000,3050,,,周日,洋山,SAKAC,沙特的阿卜杜拉国王港,41,8-01,8-14,,,Bejaia MSC USD1550/3000/3050 + ENS30/BILL，周日洋山沙特的阿卜杜拉国王港转41天，价格到8月14日已过期，紧供参考。,,,
365,80618,北,GHAZAOUET,Algeria,"盖兹瓦特,阿尔及利亚",M,CMA,2000,55,3800,110,3875,110,ENS30,2050,3900,3975,55/110,,周一,洋山,ESBCN,巴塞罗那,36,8-01,8-14,FAL1,,Ghazaouet CMA USD2000/3800/3875 + EBS55/110 + ENS30/BILL，周一洋山巴塞罗那转36天，价格到8月14日已过期，紧供参考。,,,
366,80618,北,DJEN DJEN,Algeria,"迪真迪结,阿尔及利亚",M,CMA,1900,55,3600,110,3675,110,ENS30,1950,3700,3775,55/110,,周一,洋山,MLT,巴塞罗那,35,8-01,8-14,,,Djen Djen CMA USD1900/3600/3675 + EBS55/110 + ENS30/BILL，周一洋山巴塞罗那转35天，价格到8月14日已过期，紧供参考。,,,
367,80618,北,BIZERTE,Tunisia,"比赛大,突尼斯",M,CMA,1940,55,3680,110,3755,110,ENS30,1965,3730,3805,55/110,,周一,洋山,MLT,马耳他,34,8-01,8-14,,,Bizerte CMA USD1940/3680/3755 + EBS55/110 + ENS30/BILL，周一洋山马耳他转34天，价格到8月14日已过期，紧供参考。,,,
368,80618,北,BIZERTE,Tunisia,"比赛大,突尼斯",N,HPL,1440,55,2580,110,2580,110,ENS30,1440,2580,2580,55/110,,周日,洋山,PIRAEUS,比雷埃夫斯,30,7-15,7-31,MD2 另加ENS USD35/BILL,小箱货重超过24吨及以上，收取USD250超重费,Bizerte HPL USD1440/2580 + EBS55/110 + ENS30/BILL，周日洋山比雷埃夫斯转30天，价格到7月31日已过期，紧供参考。,,,
369,80618,北,BIZERTE,Tunisia,"比赛大,突尼斯",C,EMC,1650,,2900,,2900,,ENS30,1650,2900,2900,,,1/4/7,洋山,PIR,比雷埃夫斯,40/43/40,8-01,8-14,ENS USD30 自20180601起，征收塞港费USD100/TEU 优先配MD2,超重費2SD >=18T  USD200 2SD>=21T USD400,Bizerte EMC USD1650/2900 + ENS30/BILL，1/4/7洋山比雷埃夫斯转40/43/40天，价格到8月14日已过期，紧供参考。,,,
370,80618,北,SOUSSE,Tunisia,"苏塞,突尼斯",N,HPL,1440,55,2580,110,2580,110,ENS30,1440,2580,2580,55/110,,周二,洋山,PIRAEUS,比雷埃夫斯,31,7-15,7-31,MD3 另加ENS USD35/BILL,小箱货重超过24吨及以上，收取USD250超重费,Sousse HPL USD1440/2580 + EBS55/110 + ENS30/BILL，周二洋山比雷埃夫斯转31天，价格到7月31日已过期，紧供参考。,,,
371,80618,北,SOUSSE,Tunisia,"苏塞,突尼斯",M,CMA,1940,55,3680,110,3755,110,ENS30,1965,3730,3805,55/110,,周一,洋山,MTMLA,马耳他,35,8-01,8-14,,,Sousse CMA USD1940/3680/3755 + EBS55/110 + ENS30/BILL，周一洋山马耳他转35天，价格到8月14日已过期，紧供参考。,,,
372,80618,北,TUNIS(Rades port),Tunisia,"突尼斯,突尼斯",A,MSK,2000,60,3800,120,3800,120,ENS30,2025,3850,3850,60/120,,周日,洋山,MAL,马尔萨什洛克,30,8-16,8-31,sbj to EBS,20'GP≧16T以上+$200,Tunis(Rades Port) MSK USD2000/3800 + EBS60/120 + ENS30/BILL，周日洋山马尔萨什洛克转30天，价格到8月31日。,,,
373,80618,北,TUNIS(Rades port),Tunisia,"突尼斯,突尼斯",M,CMA,2060,55,3920,110,3995,110,ENS30,2085,3970,4045,55/110,,周一,洋山,MLT,马耳他,35,8-01,8-14,,,Tunis(Rades Port) CMA USD2060/3920/3995 + EBS55/110 + ENS30/BILL，周一洋山马耳他转35天，价格到8月14日已过期，紧供参考。,,,
374,80618,北,TUNIS(Rades port),Tunisia,"突尼斯,突尼斯",N,HPL,1575,55,2850,110,2850,110,ENS30,1575,2850,2850,55/110,,周六,洋山,PORT TANGIER,丹吉尔,37,7-15,7-31,MD1 另加ENS USD35/BILL,小箱货重超过24吨及以上，收取USD250超重费,Tunis(Rades Port) HPL USD1575/2850 + EBS55/110 + ENS30/BILL，周六洋山丹吉尔转37天，价格到7月31日已过期，紧供参考。,,,
